name,artist,album_name,release_date
Kya Karoon?,Shankar-Ehsaan-Loy,Wake Up Sid (Original Motion Picture Soundtrack),2009-08-21
Iktara,Amit Trivedi,Wake Up Sid (Original Motion Picture Soundtrack),2009-08-21
Love You Zindagi - Club Mix,Amit Trivedi,Dear Zindagi (Original Motion Picture Soundtrack),2016-11-15
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,"Shaitan Ka Saala (From ""Housefull 4"")",2019-10-07
"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",Jawad Ahmad,"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",2014-06-19
Love You Zindagi,Amit Trivedi,Dear Zindagi (Original Motion Picture Soundtrack),2016-11-15
Tu Hi Hai,Amit Trivedi,Dear Zindagi (Original Motion Picture Soundtrack),2016-11-15
Manja,Amit Trivedi,Celebrate Kai Po Che (Original Motion Picture Soundtrack),2013-07-10
Shubhaarambh,Amit Trivedi,Celebrate Kai Po Che (Original Motion Picture Soundtrack),2013-07-10
"Bolna (From ""Kapoor & Sons (Since 1921)"")",Tanishk Bagchi,Award Winners 2016 Bollywood,2017-03-10
"Bulleya (From ""Ae Dil Hai Mushkil"")",Pritam,Award Winners 2016 Bollywood,2017-03-10
"Kar Gayi Chull (From ""Kapoor & Sons (Since 1921)"")",Badshah,Award Winners 2016 Bollywood,2017-03-10
"Samjhawan (From ""Humpty Sharma Ki Dulhania"")",Jawad Ahmad,Yours Truly Arijit,2016-12-09
"Muskurane (From ""Citylights"") - Romantic",Jeet Gannguli,Yours Truly Arijit,2016-12-09
Tumhi Dekho Naa,Shankar-Ehsaan-Loy,The Essential Bollywood Lounge,2010-11-08
Na Tum Jano Na Hum,Lucky Ali,Kaho Naa Pyaar Hai (Original Motion Picture Soundtrack),1999-12-01
Ek Pal Ka Jeena,Lucky Ali,Kaho Naa Pyaar Hai (Original Motion Picture Soundtrack),1999-12-01
"Beedi (From ""Omkara"")",Sunidhi Chauhan,Hits of Saif,2014-11-25
Madari,Clinton Cerejo,"Best of Coke Studio @ MTV Season, 2",2012-12-07
Teri Deewani,Kailash Kher,Kailasa,2006-02-24
Saiyyan,Kailash Kher,Jhoomo Re,2011-06-03
"Jeena Jeena (From ""Badlapur"")",Atif Aslam,"Jeena Jeena (From ""Badlapur"")",2015-01-15
"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")",Atif Aslam,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),2013-05-15
"Main Rang Sharbaton Ka (From ""Phata Poster Nikhla Hero"")",Atif Aslam,Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),2013-09-10
"Tu Jaane Na (From ""Ajab Prem Ki Ghazab Kahani"")",Atif Aslam,Atif Rocks,2011-05-27
