name,artist,album_name,release_date,lyrics
Kya Karoon?,Shankar-Ehsaan-Loy,Wake Up Sid (Original Motion Picture Soundtrack),2009-08-21,आ आ आ आ मैं लड़की ऐसे जो सजाके बाहर जाए पीछे पद जाए शहर के लडके सारे रूप मेरा ऐसा है के मारे लश्करे एक नजर से दीवाने हो जाए सारे कोई मुझे न भाये पर मैं किसी की होना चाहु है मैं क्या करून है मैं क्या कहूँ है मैं क्या करून है मैं क्या कहूँ बताओ क्या करून है मैं क्या कहूँ ो रब्बा क्या करून है है क्या कहूँ जबसे मुझपे चढ़ी जवानी हो गयी बेकाबू अब्ब किसी की न मानु जो मैं चाहे मैं करू जबसे मुझपे चढ़ी जवानी हो गयी बेकाबू अब्ब किसी की न मानु जो मैं चाहे मैं करू खुद पे कोई जोर नहीं चलता है अब्ब मेरा तोह है मैं क्या करून है मैं क्या कहूँ है मैं क्या करून है मैं क्या कहूँ ो रब्बा क्या करून है मैं क्या करून बताओ क्या करून है है क्या कहूँ कोई इक चेहरा मेरे सपनो में आता है आके मेरे मैं में इक हलचल मचाता है कोई इक चेहरा मेरे सपनो में आता है आके मेरे मैं में इक हलचल मचाता है लाखन इन् दीवानो में उसी को मैं चाहु है मैं क्या करून है मैं क्या कहूँ है मैं क्या करून है मैं क्या कहूँ बताओ क्या करून है मैं क्या कहूँ ो रब्बा क्या करून है मैं क्या कहूँ मैं लड़की ऐसे जो सजाके बाहर जाए पीछे पद जाए शहर के लडके सारे रूप मेरा ऐसा है के मारे लश्करे एक नज़र से दीवाने हो जाए सारे कोई मुझे न भाये पर मैं किसी की होना चाहु है मैं क्या करून है मैं क्या कहूँ है मैं क्या करून है मैं क्या कहूँ बताओ क्या करून है मैं क्या कहूँ ो रब्बा क्या करून है है क्या कहूँ
Iktara,Amit Trivedi,Wake Up Sid (Original Motion Picture Soundtrack),2009-08-21,ो रे मनवा तू तो बावरा है तू ही जाने तू क्या सोचता है तू ही जाने तू क्या सोचता है बावरे क्यों दिखाए सपने तू सोते जागते जो बरसें सपने बूँद बूँद नैनों को मूँद मूँद नैनों को मूँद मूँद जो बरसें सपने बूँद बूँद नैनों को मूँद मूँद कैसे मैं चलूँ देख न सकूं अनजाने रास्ते गूंजा सा है कोई एक्टर इकतारा गूंजा सा है कोई एक्टर गूंजा सा है कोई एक्टर इकतारा गूंजा सा है कोई एक्टर गूंजा सा है कोई एक्टर इकतारा गूंजा सा है कोई एक्टर गूंजा सा है कोई एक्टर इकतारा गूंजा सा है कोई एक्टर सुन रही हूँ सुधबुध खो के कोई मैं कहानी पूरी कहानी है क्या किसी है पता मैं तो किसीकी हो के यह भी न जानी रूत है यह दो पल की या रहेगी सदा किसे है पता किसे है पता जो बरसें सपने बूँद बूँद नैनों को मूँद मूँद नैनों को मूँद मूँद जो बरसें सपने बूँद बूँद नैनों को मूँद मूँद कैसे मैं चलूँ देख न सकूं अनजाने रास्ते गूंजा सा है कोई एक्टर इकतारा गूंजा सा है कोई एक्टर गूंजा सा है कोई एक्टर इकतारा गूंजा सा है कोई एक्टर गूंजा सा है कोई एक्टर इकतारा गूंजा सा है कोई एक्टर गूंजा सा है कोई एक्टर इकतारा गूंजा सा है कोई एक्टर
Love You Zindagi,Amit Trivedi,Dear Zindagi (Original Motion Picture Soundtrack),2016-11-15,जो दिल से लगे उसे कह दो ही ही ही जो दिल न लगे उसे कह दो बाई बाई बाई आने दो आने दो दिल में आ जाने दो कह दो मुस्कराहट को ही ही ही ही जाने दे जाने दो दिल से चले जाने दो कह दो घबराहट को बाई बाई बाई बाई बाई बाई लव यू ज़िन्दगी लव यू ज़िन्दगी लव यू ज़िन्दगी लव में ज़िन्दगी वो ू कभी हाथ पकड़ के तू मेरा चल दे चल दे कभी हाथ छुड़ा के मैं तेरा चल दूँ चल दूँ मैं थोड़ी सी मूडी हूँ तू थोड़ी सी टेढ़ी है क्या खूब ये जोड़ी है तेरी मेरी आने दो आने दो दिल में आ जाने दो केहदो मुस्कराहट को ही ही ही ही जाने दे जाने दो दिल से चले जाने दो केहदो घबराहट को बाई बाई बाई बाई बाई बाई लव यू ज़िन्दगी लव यू ज़िन्दगी लव यू ज़िन्दगी लव में ज़िन्दगी लव यू ज़िन्दगी लव यू ज़िन्दगी लव यू ज़िन्दगी लव में ज़िन्दगी
Shaitan Ka Saala ,Sohail Sen,"Shaitan Ka Saala (From ""Housefull 4"")",2019-10-07,इंग्लिश बाला बाला बाला बाला बाला बाला बाला बाला बाला बाला बाला बाला बाला बाला बाला बाला बाला शैतान का साला बाला बाला रब ने है पाला बाला बाला शैतान का साला बाला बाला रब ने है पाला सब कहें मुझे शैतान का साला बाला बाला बाला बाला लूटो लूटो लूटो लूटो जाप्ता हु माला बाला बाला बाला बाला सब कहें मुझे शैतान का साला बाला बाला बाला बाला लोग बोलेन बाला क्या चीज़ है साला बाला बाला बाला लोग बोलेन बाला क्या चीज़ है साला रब ने है पाला बोले बेटी मौसी खला गोर से गोर का मुंह करता हु काला खुद की दिवाली और औरों का दिवाला बाला बाला बाला छिछोरी पाठशाला बाला बाला बाला बाला कीड़ा ऑफ़ थे नाला बाला बाला खता हु मैं मुर्गा दाल के मसाला गरीबों के मुंह से छिनु मैं निवाला बाला बाला बाला बाला पेग पटियाला बाला बाला बाला बाला कीड़ा ऑफ़ थे नाला बाला बाला बाला बाला शैतान का साला बाला बाला छिछोरी पाठशाला बाला बाला शैतान का साला बाला बाला अरे रब ने है पाला बाला बाला शैतान का साला बाला बाला छिछोरी पाठशाला
Samjhawan  ,Jawad Ahmad,"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",2014-06-19,इंग्लिश नहीं जीना तेरे बाजू नहीं जीना नहीं जीना नहीं जीना तेरे बाजू नहीं जीना नहीं जीना नहीं जीना तेरे बाजू नहीं जीना नहीं जीना नहीं जीना तेरे बाजू नहीं जीना नहीं जीना मैं तनु समझावण की न तेरे बिना लगदा जी मैं तनु समझावण की न तेरे बिना लगदा जी तू की जाने प्यार मेरा मैं करून इंतज़ार तेरा तू दिल तुई योन जान मेरी मैं तनु समझावण की न तेरे बिना लगदा जी तू की जाने प्यार मेरा मैं करून इंतज़ार तेरा तू दिल तुई यो जान मेरी मैं तनु समझावण की न तेरे बिना लगदा जी मेरे दिल ने चुन लिया ने तेरे दिल दियां राहन तू जो मेरे नाल तू रहता तुरपे मेरियाँ साहा जीना मेरा हाय हूँ है तेरा की मैं कारण तू कर ऐतबार मेरा मैं करून इंतज़ार तेरा तू दिल तुई योन जान मेरी मैं तनु समझावण की न तेरे बिना लगदा जी
Love You Zindagi,Amit Trivedi,Dear Zindagi (Original Motion Picture Soundtrack),2016-11-15,जो दिल से लगे उसे कह दो ही ही ही जो दिल न लगे उसे कह दो बाई बाई बाई आने दो आने दो दिल में आ जाने दो कह दो मुस्कराहट को ही ही ही ही जाने दे जाने दो दिल से चले जाने दो कह दो घबराहट को बाई बाई बाई बाई बाई बाई लव यू ज़िन्दगी लव यू ज़िन्दगी लव यू ज़िन्दगी लव में ज़िन्दगी वो ू कभी हाथ पकड़ के तू मेरा चल दे चल दे कभी हाथ छुड़ा के मैं तेरा चल दूँ चल दूँ मैं थोड़ी सी मूडी हूँ तू थोड़ी सी टेढ़ी है क्या खूब ये जोड़ी है तेरी मेरी आने दो आने दो दिल में आ जाने दो केहदो मुस्कराहट को ही ही ही ही जाने दे जाने दो दिल से चले जाने दो केहदो घबराहट को बाई बाई बाई बाई बाई बाई लव यू ज़िन्दगी लव यू ज़िन्दगी लव यू ज़िन्दगी लव में ज़िन्दगी लव यू ज़िन्दगी लव यू ज़िन्दगी लव यू ज़िन्दगी लव में ज़िन्दगी
Tu Hi Hai,Amit Trivedi,Dear Zindagi (Original Motion Picture Soundtrack),2016-11-15,तू तू ही है तू ही है तू तू ही है तू ही है जो मेरी नींदे उदा के चली जाती है जो मेरे ख़्वाबों में एके चली जाती है जो मेरा दर्द बड़ा के चली जाती है जो मेरा दर्द बड़ा के चली जाती है तू तू ही है तू ही है तू तू ही है तू ही है तू तू ही है तू ही है तू तू ही है तू ही है जो कोई आग लगा के चला जाता है जो कोई शोला भड़काके चला जाता है जो मेरा दिल धड़काके चला जाता है जो मेरे पास में आके चला जाता है तू तू ही है तू ही है तू तू ही है तू ही है आ मैं तेरे होटों के फूल खिला दूँ आ मैं तेरे प्यार का तुझको सिला दूँ आ मैं तेरे यादों की दुनिया सजा दूँ आ मैं तेरी बाहों में उम्र बिता दूँ जानेमन जाने जान तू जहाँ मैं वहां जो मेरे होश गावं के चला जाता है जो मेरे ज़ुल्फ़ सजाके चला जाता है जो कुछ कस्मे भुला के चला जाता है जो कुछ वाडे निभा के चला जाता है तू तू ही है तू ही है तू तू ही है तू ही है मुझको तूने छेड़ा है नयी प्यास देके मैं तो खाती हूँ दिन तेरा नाम लेके तेरी इन अदाओं की कोई डोर खींचे मैं तो चला आता हूँ तेरे पीछे पीछे तूने क्या कह दिया भड़का यह जिया जो कभी मुझको हँसा के चली जाती है जो कभी बातें बना के चली जाती है जो कभी मुझे तड़पा के चली जाती है जो कभी दिल को जला के चली जाती है तू तू ही है तू ही है तू तू ही है तू ही है जो कोई आग लगा के चला जाता है जो कोई शोला भड़काके चला जाता है जो मेरा दिल धड़काके चला जाता है जो मेरे पास में आके चला जाता है तू तू ही है तू ही है तू तू ही है तू ही है
Manja,Amit Trivedi,Celebrate Kai Po Che (Original Motion Picture Soundtrack),2013-07-10,ऐसी धूपं विच कम् करके वि तेरे सरे छह पुगौँडे रहे तैथों आसान विच कम् करके वि सद्दा क्यों न दर्द वृंदा होया ऐसी चार खाना दे इक कमरे विच पलंग दही तेरे सोएं लायी तथा पंज रोमा दे घर दे विच सादा इक मांजा ना अड्डा होया तथा पंज रोमा दे घर दे विच सादा इक मांजा ना अड्डा होया तैनू सरे मेले मोड़ेया उत्ते चूक के रहा दिखाउँदा मैं भार भार के पानी खुई तोह तैनू मॉल मॉल रहा नादौन्दा रहा तथा भरके ना कड़े टूटी तो भरके न कड़े टूटी तो पानी डा कप फाड़ा होया तथा पंज रोमा दे घर दे विच सादा इक मांजा ना अड्डा होया तथा पंज रोमा दे घर दे विच सादा इक मांजा ना अड्डा होया तैनू चड्डा जड़ों बुखार कड़े सिर्र गिल्लियां पत्तियां धारड़ी रही माँ पत् हुँदा ऐ दिल मेरा भेज मुँह मुहरे बुक्क करदी रही सिर्र ओहदा वि तन दुखड़ा हो ओहदा वि तन दुखड़ा हो तथा खबर लाइन न आ होया तथा पंज रोमा दे घर दे विच सादा इक मांजा ना अड्डा होया तथा पंज रोमा दे घर दे विच सादा इक मांजा ना अड्डा होया ोथे डॉलर नहीं रुपैये सी पर पट मार्जने चेंज सी कई वार लगे अमेरिका तोह ऐसी पिंड फढ़ाने चेंज सी दिल करदा ऐ मूड जाइये दिल करदा के मूड जाइये इसी उम्र कीड़े तोह जा होया तथा पंज रोमा दे घर दे विच सादा इक मांजा ना अड्डा होया हसी चार खाना दे इक कमरे विच पलंग दही तेरे सोन लायी तथा पंज रोमा दे घर दे विच सादा इक मांजा ना अड्डा होया तथा पंज रोमा दे घर दे विच सादा इक मांजा ना अड्डा होया
Shubhaarambh,Amit Trivedi,Celebrate Kai Po Che (Original Motion Picture Soundtrack),2013-07-10,रंगी परोधा ावी खुशियां संग लावी हरखाये हैयु हाय हाय रंगी परोधा ावी खुशियां संग लावी हरखाये हैयु हाय हाय ाश नई किरणों विखराये उमंग ऐवी छकाए मन हार्वे थी गुनगुनाये हाय हाय हाय हे शुभारम्भ हो शुभारम्भ मंगल बेला आयी सपनों की देहरी पर दिल की बाजी रे शहनाई शहनाई शहनाई हे शुभारम्भ हो शुभारम्भ मंगल बेला आयी सपनों की देहरी पर दिल की बाजी रे शहनाई शहनाई ख़्वाबों के बीज कच्ची ज़मीं पे हमको तो बोना है आशा के मोती साँसों के माला हमको पिरोना है अपना बोझा मिल के साथी हमको धोना है शहनाई शहनाई शहनाई रास रचीलो साज सजिलो शुभ घडी छे ावी अच्छा अच्छा तमतमाता सामना ओछे लावी ो लावी हो लावी रंगी परोधा ावी खुशियां संग लावी हरखाये हैयु हाय हाय रंगी परोधा ावी खुशियां संग लावी हरखाये हैयु हाय हाय हाँ मज़ा है ज़िन्दगी नशा है ज़िन्दगी धीरे धीरे चढ़ेगी हो दुआ दे ज़िन्दगी बता दे ज़िन्दगी बात अपनी बनेगी हो ख़्वाबों के बीज कच्ची ज़मीं पे हमको तो बोना है आशा के मोती साँसों के माला हमको पिरोना है अपना बोझा मिल के साथी हमको धोना है शहनाई शहनाई शहनाई हे रंग लो म्हारा नाम ए भाई भाई हे शुभारम्भ हो शुभारम्भ मंगल बेला आयी सपनों की देहरी पर दिल की बाजी रे शहनाई शहनाई रास रचीलो साज सजिलो शुभ घडी छे ावी आजा आजा तमतमाता सामना ोझे लावी ो लावी
"Bolna "")",Tanishk Bagchi,Award Winners 2016 Bollywood,2017-03-10,एरर फेचिंग थे सर्च रिजल्ट्स
